query_id,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,MAS_recalled,MAS_acked,MAS_tokens,MAS_llm_calls,MAS_turns,MAS_wall_s,UNMAS_recalled,UNMAS_acked,UNMAS_tokens,UNMAS_llm_calls,UNMAS_turns,UNMAS_wall_s,BB_recalled,BB_acked,BB_tokens,BB_llm_calls,BB_turns,BB_wall_s,UNBB_recalled,UNBB_acked,UNBB_tokens,UNBB_llm_calls,UNBB_turns,UNBB_wall_s,SA_recalled,SA_acked,SA_tokens,SA_llm_calls,SA_turns,SA_wall_s
N1,single,2,2,0,0,0,0,0,0,1.0,0,102329,29,16,50.4,1.0,0,11393,12,7,21.3,1.0,0,4513,6,6,15.4,1.0,0,10527,9,6,20.1,1.0,0,11770,4,4,12.7
N2,single,2,2,0,1,1,0,1,0,2.0,1.0,26632,12,8,15.4,2.0,1.0,8038,10,5,10.8,1.0,1.0,3149,6,5,7.1,2.0,1.0,6146,7,5,9.2,2.0,0.0,5047,2,2,3.5
N3,single,1,1,0,0,0,0,0,0,0.0,0,24243,18,12,18.8,0.0,0,24288,13,7,33.2,0.0,0,3915,5,5,9.4,0.0,0,9298,9,6,9.4,0.0,0,6796,2,2,3.9
N4,single,1,1,0,0,0,0,0,0,1.0,0,38891,15,9,22.1,1.0,0,23161,12,7,19.2,0.0,0,4840,6,6,11.0,1.0,0,11719,9,6,14.7,0.0,0,12569,3,3,7.1
N5,single,1,1,0,0,0,0,0,0,1.0,0,19297,13,10,12.0,0.0,0,10872,9,5,10.1,0.0,0,3969,6,5,8.6,0.0,0,6158,7,5,9.1,1.0,0,5422,2,2,4.5
N6,single,2,2,0,0,0,0,0,0,1.0,0,26727,24,16,25.5,0.0,0,28849,13,7,21.0,1.0,0,7847,6,6,16.4,0.0,0,11001,9,6,15.0,1.0,0,7662,2,2,4.4
N7,single,3,3,0,0,0,0,0,0,3.0,0,40480,20,10,21.2,3.0,0,8423,9,5,13.6,3.0,0,4330,5,4,9.0,3.0,0,6588,7,5,9.5,3.0,0,7831,3,3,5.3
N8,single,2,2,0,0,0,0,0,0,2.0,0,25932,16,9,21.7,2.0,0,19009,9,6,24.6,1.0,0,4583,5,5,8.9,0.0,0,9899,9,6,12.7,2.0,0,7468,2,2,6.1
N9,single,1,1,0,1,1,0,1,0,1.0,1.0,17558,14,9,17.7,1.0,1.0,24901,13,7,27.3,0.0,0.0,4232,5,5,12.2,0.0,1.0,11871,9,6,17.3,1.0,0.0,13384,3,3,5.7
N10,single,3,3,0,0,0,0,0,0,2.0,0,26069,19,12,36.2,1.0,0,11998,11,6,14.7,0.0,0,4735,5,5,11.3,0.0,0,10346,9,6,13.5,2.0,0,7566,2,2,6.4
N11,single,2,2,0,0,0,0,0,0,2.0,0,29754,24,14,26.8,1.0,0,12756,11,6,13.0,1.0,0,4016,5,5,7.9,0.0,0,11651,9,6,13.1,1.0,0,13616,3,3,4.9
N12,single,3,3,0,0,0,0,0,0,3.0,0,53528,31,16,39.7,1.0,0,26230,13,7,27.3,2.0,0,8364,6,6,15.2,2.0,0,15019,10,7,19.5,3.0,0,21312,4,4,8.5
N13,single,1,1,0,0,0,0,0,0,1.0,0,41970,24,16,28.3,1.0,0,24008,12,7,21.3,1.0,0,8817,6,6,16.6,1.0,0,12156,9,6,13.3,1.0,0,16852,5,5,9.9
N14,single,2,2,0,0,0,0,0,0,2.0,0,42555,28,14,29.7,2.0,0,24980,12,7,22.3,0.0,0,8907,6,6,16.8,2.0,0,13245,9,6,12.0,2.0,0,8793,2,2,6.2
N15,single,1,1,0,1,1,0,1,0,0.0,1.0,20632,17,12,16.6,1.0,1.0,25462,12,7,23.2,0.0,0.0,8700,6,6,16.4,1.0,1.0,11640,9,6,12.0,0.0,0.0,13881,3,3,6.2
N16,single,3,3,0,1,1,0,0,1,1.0,1.0,30338,24,16,25.6,2.0,1.0,12249,11,6,15.1,2.0,1.0,4704,5,5,10.7,0.0,1.0,12050,9,6,12.5,2.0,1.0,18216,3,3,7.1
N17,single,2,2,0,1,1,0,0,1,1.0,1.0,28415,24,14,27.4,1.0,0.0,15937,12,6,20.8,0.0,0.0,4889,5,5,12.7,0.0,1.0,11405,9,6,15.5,1.0,1.0,17422,3,3,7.4
N18,single,3,3,0,0,0,0,0,0,3.0,0,33684,24,16,29.9,1.0,0,16734,12,6,17.2,1.0,0,4749,6,6,9.2,1.0,0,13253,9,6,16.5,3.0,0,14739,3,3,6.0
N19,single,2,2,0,1,1,0,1,0,2.0,1.0,61501,28,14,36.0,1.0,0.0,15952,13,7,18.2,0.0,0.0,4823,6,6,9.3,2.0,1.0,12116,9,6,11.5,2.0,1.0,10636,2,2,7.2
N20,single,3,3,0,0,0,0,0,0,3.0,0,28317,19,12,22.0,1.0,0,17152,12,6,17.5,1.0,0,8911,6,6,16.4,2.0,0,12184,9,6,12.7,3.0,0,12659,3,3,8.1
N21,single,1,1,0,1,1,0,0,1,1.0,1.0,31028,25,14,24.9,0.0,1.0,16852,12,6,19.0,0.0,1.0,4681,5,5,10.9,1.0,1.0,12932,9,6,11.6,1.0,1.0,10038,2,2,6.2
N22,single,2,2,0,0,0,0,0,0,2.0,0,51198,27,16,39.9,2.0,0,13940,12,7,18.7,1.0,0,4945,6,6,11.3,2.0,0,10649,9,6,12.7,2.0,0,13743,3,3,8.7
N23,single,3,3,0,0,0,0,0,0,3.0,0,29565,24,16,29.3,1.0,0,17634,13,7,20.1,1.0,0,5033,6,6,13.7,1.0,0,12044,9,6,12.2,3.0,0,12633,3,3,8.7
N24,single,2,2,0,1,1,0,0,1,2.0,1.0,52534,27,16,38.0,1.0,1.0,11737,12,7,16.0,0.0,1.0,5759,6,6,13.0,2.0,1.0,10667,9,6,11.5,2.0,1.0,17045,4,4,8.5
