query_id,system,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,facts_recalled,traps_acknowledged,llm_calls,turns,prompt_tokens,completion_tokens,total_tokens,tokens_per_call,wall_clock_s
N1,MAS,single,2,2,0,0,0,0,0,0,1.0,0,25,12,31242,698,31940,1277.6,26.8
N2,MAS,single,2,2,0,1,1,0,1,0,2.0,1.0,12,6,22621,323,22944,1912.0,11.1
N3,MAS,single,1,1,0,0,0,0,0,0,0.0,0,18,10,20737,544,21281,1182.3,16.7
N4,MAS,single,1,1,0,0,0,0,0,0,0.0,0,21,7,70933,1863,72796,3466.5,32.6
N5,MAS,single,1,1,0,0,0,0,0,0,0.0,0,13,8,16653,473,17126,1317.4,11.8
N6,MAS,single,2,2,0,0,0,0,0,0,2.0,0,16,7,12685,419,13104,819.0,14.7
N7,MAS,single,3,3,0,0,0,0,0,0,2.0,0,17,10,43199,1107,44306,2606.2,26.5
N8,MAS,single,2,2,0,0,0,0,0,0,2.0,0,16,7,20429,886,21315,1332.2,20.5
N9,MAS,single,1,1,0,1,1,0,1,0,1.0,1.0,14,7,14906,574,15480,1105.7,15.5
N10,MAS,single,3,3,0,0,0,0,0,0,0.0,0,17,10,16165,754,16919,995.2,17.2
N11,MAS,single,2,2,0,0,0,0,0,0,1.0,0,11,6,16251,437,16688,1517.1,10.4
N12,MAS,single,3,3,0,0,0,0,0,0,3.0,0,18,7,19570,742,20312,1128.4,17.5
N13,MAS,single,1,1,0,0,0,0,0,0,1.0,0,22,9,28320,808,29128,1324.0,21.3
N14,MAS,single,2,2,0,0,0,0,0,0,0.0,0,13,8,14398,892,15290,1176.2,15.9
N15,MAS,single,1,1,0,1,1,0,1,0,1.0,1.0,18,7,19704,582,20286,1127.0,17.6
N16,MAS,single,3,3,0,1,1,0,0,1,1.0,1.0,28,9,43687,1013,44700,1596.4,29.0
N17,MAS,single,2,2,0,1,1,0,0,1,1.0,0.0,11,6,17829,534,18363,1669.4,11.9
N18,MAS,single,3,3,0,0,0,0,0,0,3.0,0,11,6,17969,596,18565,1687.7,11.5
N19,MAS,single,2,2,0,1,1,0,1,0,2.0,1.0,27,14,36869,1257,38126,1412.1,34.0
N20,MAS,single,3,3,0,0,0,0,0,0,2.0,0,18,10,17333,1003,18336,1018.7,17.5
N21,MAS,single,1,1,0,1,1,0,0,1,1.0,1.0,18,10,17227,709,17936,996.4,22.7
N22,MAS,single,2,2,0,0,0,0,0,0,2.0,0,12,6,28839,916,29755,2479.6,18.9
N23,MAS,single,3,3,0,0,0,0,0,0,3.0,0,11,6,17975,586,18561,1687.4,11.1
N24,MAS,single,2,2,0,1,1,0,0,1,2.0,1.0,16,8,19904,626,20530,1283.1,16.0
N25,MAS,single,3,3,0,0,0,0,0,0,3.0,0,19,12,25383,1446,26829,1412.1,23.2
N26,MAS,single,3,3,0,0,0,0,0,0,3.0,0,33,12,78206,2009,80215,2430.8,43.8
N27,MAS,single,3,3,0,0,0,0,0,0,2.0,0,14,7,16494,628,17122,1223.0,15.9
N28,MAS,single,4,4,0,0,0,0,0,0,4.0,0,11,6,19976,852,20828,1893.5,13.3
N29,MAS,single,3,3,0,0,0,0,0,0,3.0,0,14,7,18291,854,19145,1367.5,16.8
N30,MAS,single,2,2,0,0,0,0,0,0,2.0,0,11,8,20527,1048,21575,1961.4,18.5
N31,MAS,single,3,3,0,1,1,0,0,1,3.0,1.0,17,12,17626,751,18377,1081.0,16.7
N32,MAS,single,3,3,0,1,1,0,1,0,2.0,1.0,16,7,14627,599,15226,951.6,15.6
N33,MAS,single,3,3,0,0,0,0,0,0,3.0,0,15,8,50468,1057,51525,3435.0,25.0
N34,MAS,single,4,4,0,0,0,0,0,0,4.0,0,28,12,53615,1787,55402,1978.6,38.0
N35,MAS,single,2,2,0,0,0,0,0,0,2.0,0,15,6,29194,840,30034,2002.3,16.9
D1,MAS,single,2,2,0,0,0,0,0,0,2.0,0,11,6,17380,499,17879,1625.4,11.4
D2,MAS,single,3,3,0,0,0,0,0,0,0.0,0,17,10,17056,723,17779,1045.8,16.5
D3,MAS,single,1,1,0,1,1,0,1,0,1.0,1.0,24,12,23012,864,23876,994.8,23.4
D4,MAS,single,3,3,0,0,0,0,0,0,1.0,0,11,5,26085,300,26385,2398.6,11.0
D5,MAS,single,2,2,0,1,1,0,1,0,2.0,1.0,18,7,19035,564,19599,1088.8,15.4
N41,MAS,multi,1,0,1,0,0,0,0,0,1.0,0,18,10,15161,845,16006,889.2,18.3
N42,MAS,multi,1,0,1,3,0,3,3,0,0.0,2.0,13,8,12121,399,12520,963.1,11.5
N43,MAS,multi,2,0,2,0,0,0,0,0,2.0,0,18,10,15986,1015,17001,944.5,22.6
N44,MAS,multi,2,0,2,1,0,1,1,0,0.0,0.0,9,3,13305,219,13524,1502.7,8.4
N45,MAS,multi,1,0,1,0,0,0,0,0,0.0,0,18,10,15199,784,15983,887.9,20.1
N46,MAS,multi,2,0,2,1,0,1,1,0,1.0,0.0,16,8,18228,620,18848,1178.0,14.5
N47,MAS,multi,2,0,2,2,0,2,2,0,2.0,1.0,20,12,23024,738,23762,1188.1,19.9
N48,MAS,multi,3,0,3,0,0,0,0,0,2.0,0,14,8,12878,404,13282,948.7,12.4
N49,MAS,multi,2,0,2,0,0,0,0,0,1.0,0,12,7,9810,987,10797,899.8,15.6
N50,MAS,multi,1,0,1,1,0,1,1,0,1.0,0.0,16,7,12161,452,12613,788.3,13.0
N51,MAS,multi,2,0,2,0,0,0,0,0,1.0,0,26,12,36326,920,37246,1432.5,26.4
N52,MAS,multi,2,0,2,1,0,1,1,0,1.0,1.0,16,8,18436,568,19004,1187.8,14.1
N53,MAS,multi,3,0,3,0,0,0,0,0,2.0,0,15,8,18322,683,19005,1267.0,16.0
N54,MAS,multi,2,0,2,2,0,2,2,0,2.0,1.0,15,8,18042,623,18665,1244.3,14.5
N55,MAS,multi,1,0,1,2,0,2,2,0,1.0,2.0,18,10,16089,730,16819,934.4,19.2
N1,UNMAS,single,2,2,0,0,0,0,0,0,1.0,0,12,7,10254,1139,11393,949.4,21.3
N2,UNMAS,single,2,2,0,1,1,0,1,0,2.0,1.0,10,5,7227,811,8038,803.8,10.8
N3,UNMAS,single,1,1,0,0,0,0,0,0,0.0,0,13,7,22878,1410,24288,1868.3,33.2
N4,UNMAS,single,1,1,0,0,0,0,0,0,1.0,0,12,7,21901,1260,23161,1930.1,19.2
N5,UNMAS,single,1,1,0,0,0,0,0,0,0.0,0,9,5,9866,1006,10872,1208.0,10.1
N6,UNMAS,single,2,2,0,0,0,0,0,0,0.0,0,13,7,27636,1213,28849,2219.2,21.0
N7,UNMAS,single,3,3,0,0,0,0,0,0,3.0,0,9,5,6847,1576,8423,935.9,13.6
N8,UNMAS,single,2,2,0,0,0,0,0,0,2.0,0,9,6,17807,1202,19009,2112.1,24.6
N9,UNMAS,single,1,1,0,1,1,0,1,0,1.0,1.0,13,7,23146,1755,24901,1915.5,27.3
N10,UNMAS,single,3,3,0,0,0,0,0,0,1.0,0,11,6,10626,1372,11998,1090.7,14.7
N11,UNMAS,single,2,2,0,0,0,0,0,0,1.0,0,11,6,11512,1244,12756,1159.6,13.0
N12,UNMAS,single,3,3,0,0,0,0,0,0,1.0,0,13,7,24252,1978,26230,2017.7,27.3
N13,UNMAS,single,1,1,0,0,0,0,0,0,1.0,0,12,7,22633,1375,24008,2000.7,21.3
N14,UNMAS,single,2,2,0,0,0,0,0,0,2.0,0,12,7,23604,1376,24980,2081.7,22.3
N15,UNMAS,single,1,1,0,1,1,0,1,0,1.0,1.0,12,7,23866,1596,25462,2121.8,23.2
N16,UNMAS,single,3,3,0,1,1,0,0,1,2.0,1.0,11,6,11147,1102,12249,1113.5,15.1
N17,UNMAS,single,2,2,0,1,1,0,0,1,1.0,0.0,12,6,14049,1888,15937,1328.1,20.8
N18,UNMAS,single,3,3,0,0,0,0,0,0,1.0,0,12,6,15141,1593,16734,1394.5,17.2
N19,UNMAS,single,2,2,0,1,1,0,1,0,1.0,0.0,13,7,14568,1384,15952,1227.1,18.2
N20,UNMAS,single,3,3,0,0,0,0,0,0,1.0,0,12,6,15438,1714,17152,1429.3,17.5
N21,UNMAS,single,1,1,0,1,1,0,0,1,0.0,1.0,12,6,15568,1284,16852,1404.3,19.0
N22,UNMAS,single,2,2,0,0,0,0,0,0,2.0,0,12,7,12544,1396,13940,1161.7,18.7
N23,UNMAS,single,3,3,0,0,0,0,0,0,1.0,0,13,7,16159,1475,17634,1356.5,20.1
N24,UNMAS,single,2,2,0,1,1,0,0,1,1.0,1.0,12,7,10667,1070,11737,978.1,16.0
N25,UNMAS,single,3,3,0,0,0,0,0,0,3.0,0,12,7,22823,1323,24146,2012.2,21.4
N26,UNMAS,single,3,3,0,0,0,0,0,0,1.0,0,13,7,25572,2131,27703,2131.0,26.0
N27,UNMAS,single,3,3,0,0,0,0,0,0,3.0,0,13,7,16122,2154,18276,1405.8,19.5
N28,UNMAS,single,4,4,0,0,0,0,0,0,4.0,0,12,7,13392,1707,15099,1258.2,16.9
N29,UNMAS,single,3,3,0,0,0,0,0,0,0.0,0,13,7,24597,2930,27527,2117.5,31.1
N30,UNMAS,single,2,2,0,0,0,0,0,0,2.0,0,12,7,22120,1621,23741,1978.4,21.2
N31,UNMAS,single,3,3,0,1,1,0,0,1,3.0,0.0,12,7,22355,1451,23806,1983.8,22.4
N32,UNMAS,single,3,3,0,1,1,0,1,0,1.0,1.0,10,6,16212,1439,17651,1765.1,19.8
N33,UNMAS,single,3,3,0,0,0,0,0,0,3.0,0,12,7,22098,1812,23910,1992.5,25.7
N34,UNMAS,single,4,4,0,0,0,0,0,0,4.0,0,11,6,14045,1557,15602,1418.4,15.4
N35,UNMAS,single,2,2,0,0,0,0,0,0,1.0,0,13,7,15048,2071,17119,1316.8,23.7
D1,UNMAS,single,2,2,0,0,0,0,0,0,1.0,0,11,6,11511,1359,12870,1170.0,17.0
D2,UNMAS,single,3,3,0,0,0,0,0,0,0.0,0,13,7,16452,1706,18158,1396.8,21.0
D3,UNMAS,single,1,1,0,1,1,0,1,0,0.0,0.0,12,7,22200,1374,23574,1964.5,20.4
D4,UNMAS,single,3,3,0,0,0,0,0,0,3.0,0,11,6,12760,1754,14514,1319.5,15.9
D5,UNMAS,single,2,2,0,1,1,0,1,0,2.0,1.0,13,7,14334,1333,15667,1205.2,16.8
N41,UNMAS,multi,1,0,1,0,0,0,0,0,1.0,0,12,7,10512,1108,11620,968.3,15.6
N42,UNMAS,multi,1,0,1,3,0,3,3,0,0.0,1.0,13,7,12673,947,13620,1047.7,14.1
N43,UNMAS,multi,2,0,2,0,0,0,0,0,2.0,0,12,7,10203,1033,11236,936.3,14.4
N44,UNMAS,multi,2,0,2,1,0,1,1,0,0.0,1.0,11,6,18314,1010,19324,1756.7,17.1
N45,UNMAS,multi,1,0,1,0,0,0,0,0,0.0,0,13,7,13746,1567,15313,1177.9,18.7
N46,UNMAS,multi,2,0,2,1,0,1,1,0,1.0,0.0,12,7,11795,972,12767,1063.9,15.3
N47,UNMAS,multi,2,0,2,2,0,2,2,0,0.0,2.0,13,7,23443,1371,24814,1908.8,20.2
N48,UNMAS,multi,3,0,3,0,0,0,0,0,3.0,0,11,6,8786,1340,10126,920.5,14.6
N49,UNMAS,multi,2,0,2,0,0,0,0,0,1.0,0,12,7,21252,1149,22401,1866.8,20.8
N50,UNMAS,multi,1,0,1,1,0,1,1,0,0.0,1.0,11,6,18492,1539,20031,1821.0,19.9
N51,UNMAS,multi,2,0,2,0,0,0,0,0,0.0,0,13,7,12955,1085,14040,1080.0,17.3
N52,UNMAS,multi,2,0,2,1,0,1,1,0,1.0,0.0,9,5,5840,1137,6977,775.2,12.4
N53,UNMAS,multi,3,0,3,0,0,0,0,0,2.0,0,10,6,6684,1377,8061,806.1,14.0
N54,UNMAS,multi,2,0,2,2,0,2,2,0,2.0,0.0,11,6,18409,1228,19637,1785.2,20.0
N55,UNMAS,multi,1,0,1,2,0,2,2,0,0.0,1.0,13,7,15115,1543,16658,1281.4,22.2
N1,BB,single,2,2,0,0,0,0,0,0,1.0,0,6,6,3528,985,4513,752.2,15.4
N2,BB,single,2,2,0,1,1,0,1,0,1.0,1.0,6,5,2740,409,3149,524.8,7.1
N3,BB,single,1,1,0,0,0,0,0,0,0.0,0,5,5,3149,766,3915,783.0,9.4
N4,BB,single,1,1,0,0,0,0,0,0,0.0,0,6,6,3778,1062,4840,806.7,11.0
N5,BB,single,1,1,0,0,0,0,0,0,0.0,0,6,5,3377,592,3969,661.5,8.6
N6,BB,single,2,2,0,0,0,0,0,0,1.0,0,6,6,6979,868,7847,1307.8,16.4
N7,BB,single,3,3,0,0,0,0,0,0,3.0,0,5,4,3186,1144,4330,866.0,9.0
N8,BB,single,2,2,0,0,0,0,0,0,1.0,0,5,5,3560,1023,4583,916.6,8.9
N9,BB,single,1,1,0,1,1,0,1,0,0.0,0.0,5,5,3144,1088,4232,846.4,12.2
N10,BB,single,3,3,0,0,0,0,0,0,0.0,0,5,5,3515,1220,4735,947.0,11.3
N11,BB,single,2,2,0,0,0,0,0,0,1.0,0,5,5,3395,621,4016,803.2,7.9
N12,BB,single,3,3,0,0,0,0,0,0,2.0,0,6,6,7413,951,8364,1394.0,15.2
N13,BB,single,1,1,0,0,0,0,0,0,1.0,0,6,6,7593,1224,8817,1469.5,16.6
N14,BB,single,2,2,0,0,0,0,0,0,0.0,0,6,6,7635,1272,8907,1484.5,16.8
N15,BB,single,1,1,0,1,1,0,1,0,0.0,0.0,6,6,7495,1205,8700,1450.0,16.4
N16,BB,single,3,3,0,1,1,0,0,1,2.0,1.0,5,5,3782,922,4704,940.8,10.7
N17,BB,single,2,2,0,1,1,0,0,1,0.0,0.0,5,5,3750,1139,4889,977.8,12.7
N18,BB,single,3,3,0,0,0,0,0,0,1.0,0,6,6,3971,778,4749,791.5,9.2
N19,BB,single,2,2,0,1,1,0,1,0,0.0,0.0,6,6,4042,781,4823,803.8,9.3
N20,BB,single,3,3,0,0,0,0,0,0,1.0,0,6,6,7682,1229,8911,1485.2,16.4
N21,BB,single,1,1,0,1,1,0,0,1,0.0,1.0,5,5,3832,849,4681,936.2,10.9
N22,BB,single,2,2,0,0,0,0,0,0,1.0,0,6,6,3971,974,4945,824.2,11.3
N23,BB,single,3,3,0,0,0,0,0,0,1.0,0,6,6,4058,975,5033,838.8,13.7
N24,BB,single,2,2,0,1,1,0,0,1,0.0,1.0,6,6,4422,1337,5759,959.8,13.0
N25,BB,single,3,3,0,0,0,0,0,0,1.0,0,6,6,7814,1254,9068,1511.3,17.9
N26,BB,single,3,3,0,0,0,0,0,0,1.0,0,5,5,3977,1297,5274,1054.8,13.8
N27,BB,single,3,3,0,0,0,0,0,0,1.0,0,5,5,3641,959,4600,920.0,15.7
N28,BB,single,4,4,0,0,0,0,0,0,1.0,0,6,6,4200,1018,5218,869.7,11.4
N29,BB,single,3,3,0,0,0,0,0,0,2.0,0,6,6,7989,1238,9227,1537.8,18.6
N30,BB,single,2,2,0,0,0,0,0,0,1.0,0,6,6,7926,1503,9429,1571.5,18.4
N31,BB,single,3,3,0,1,1,0,0,1,2.0,1.0,6,6,7749,1033,8782,1463.7,18.2
N32,BB,single,3,3,0,1,1,0,1,0,1.0,0.0,6,5,7127,968,8095,1349.2,15.4
N33,BB,single,3,3,0,0,0,0,0,0,2.0,0,6,6,7833,1255,9088,1514.7,16.6
N34,BB,single,4,4,0,0,0,0,0,0,2.0,0,5,5,4161,1574,5735,1147.0,13.5
N35,BB,single,2,2,0,0,0,0,0,0,1.0,0,5,5,3718,1143,4861,972.2,12.2
D1,BB,single,2,2,0,0,0,0,0,0,0.0,0,5,5,3808,1134,4942,988.4,9.8
D2,BB,single,3,3,0,0,0,0,0,0,1.0,0,6,6,4478,1216,5694,949.0,11.1
D3,BB,single,1,1,0,1,1,0,1,0,0.0,0.0,6,6,7429,1036,8465,1410.8,14.4
D4,BB,single,3,3,0,0,0,0,0,0,2.0,0,5,5,3926,1350,5276,1055.2,11.2
D5,BB,single,2,2,0,1,1,0,1,0,0.0,0.0,6,6,4244,1328,5572,928.7,13.9
N41,BB,multi,1,0,1,0,0,0,0,0,0.0,0,5,5,3397,1244,4641,928.2,11.2
N42,BB,multi,1,0,1,3,0,3,3,0,0.0,2.0,5,5,3223,834,4057,811.4,10.5
N43,BB,multi,2,0,2,0,0,0,0,0,2.0,0,6,6,3545,1161,4706,784.3,15.2
N44,BB,multi,2,0,2,1,0,1,1,0,0.0,1.0,6,5,6740,946,7686,1281.0,14.4
N45,BB,multi,1,0,1,0,0,0,0,0,0.0,0,5,5,3099,675,3774,754.8,10.0
N46,BB,multi,2,0,2,1,0,1,1,0,0.0,1.0,6,6,3927,731,4658,776.3,8.7
N47,BB,multi,2,0,2,2,0,2,2,0,0.0,2.0,6,6,6970,1004,7974,1329.0,14.8
N48,BB,multi,3,0,3,0,0,0,0,0,3.0,0,6,5,3725,1394,5119,853.2,11.4
N49,BB,multi,2,0,2,0,0,0,0,0,1.0,0,5,5,3212,705,3917,783.4,8.2
N50,BB,multi,1,0,1,1,0,1,1,0,0.0,0.0,6,5,6557,821,7378,1229.7,13.9
N51,BB,multi,2,0,2,0,0,0,0,0,0.0,0,5,5,3196,788,3984,796.8,9.0
N52,BB,multi,2,0,2,1,0,1,1,0,1.0,0.0,6,5,3386,719,4105,684.2,11.4
N53,BB,multi,3,0,3,0,0,0,0,0,1.0,0,6,5,3008,537,3545,590.8,6.9
N54,BB,multi,2,0,2,2,0,2,2,0,0.0,1.0,6,5,6786,1187,7973,1328.8,14.2
N55,BB,multi,1,0,1,2,0,2,2,0,0.0,1.0,5,5,3809,1442,5251,1050.2,11.5
N1,UNBB,single,2,2,0,0,0,0,0,0,1.0,0,9,6,9396,1131,10527,1169.7,20.1
N2,UNBB,single,2,2,0,1,1,0,1,0,2.0,1.0,7,5,5234,912,6146,878.0,9.2
N3,UNBB,single,1,1,0,0,0,0,0,0,0.0,0,9,6,8640,658,9298,1033.1,9.4
N4,UNBB,single,1,1,0,0,0,0,0,0,1.0,0,9,6,10339,1380,11719,1302.1,14.7
N5,UNBB,single,1,1,0,0,0,0,0,0,0.0,0,7,5,5278,880,6158,879.7,9.1
N6,UNBB,single,2,2,0,0,0,0,0,0,0.0,0,9,6,9944,1057,11001,1222.3,15.0
N7,UNBB,single,3,3,0,0,0,0,0,0,3.0,0,7,5,5497,1091,6588,941.1,9.5
N8,UNBB,single,2,2,0,0,0,0,0,0,0.0,0,9,6,8917,982,9899,1099.9,12.7
N9,UNBB,single,1,1,0,1,1,0,1,0,0.0,1.0,9,6,10142,1729,11871,1319.0,17.3
