system,query_id,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,facts_recalled,traps_acknowledged,fr_pct,uaa_pct,duration_s
MAS,N1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,
MAS,N2,single,2,2,0,1,1,0,1,0,2.0,1.0,100.0,100.0,
MAS,N3,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,
MAS,N4,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,
MAS,N5,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,
MAS,N6,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,
MAS,N7,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,
MAS,N8,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
MAS,N9,single,1,1,0,1,1,0,1,0,1.0,1.0,100.0,100.0,
MAS,N10,single,3,3,0,0,0,0,0,0,0.0,0,0.0,,
MAS,N11,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,
MAS,N12,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,N13,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,
MAS,N14,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,
MAS,N15,single,1,1,0,1,1,0,1,0,1.0,1.0,100.0,100.0,
MAS,N16,single,3,3,0,1,1,0,0,1,1.0,1.0,33.3,100.0,
MAS,N17,single,2,2,0,1,1,0,0,1,1.0,0.0,50.0,0.0,
MAS,N18,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,N19,single,2,2,0,1,1,0,1,0,2.0,1.0,100.0,100.0,
MAS,N20,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,
MAS,N21,single,1,1,0,1,1,0,0,1,1.0,1.0,100.0,100.0,
MAS,N22,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
MAS,N23,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,N24,single,2,2,0,1,1,0,0,1,2.0,1.0,100.0,100.0,
MAS,N25,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,N26,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,N27,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,
MAS,N28,single,4,4,0,0,0,0,0,0,4.0,0,100.0,,
MAS,N29,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,N30,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
MAS,N31,single,3,3,0,1,1,0,0,1,2.0,1.0,66.7,100.0,
MAS,N32,single,3,3,0,1,1,0,1,0,2.0,1.0,66.7,100.0,
MAS,N33,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,N34,single,4,4,0,0,0,0,0,0,4.0,0,100.0,,
MAS,N35,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
MAS,D1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,
MAS,D2,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,
MAS,D3,single,1,1,0,1,1,0,1,0,0.0,1.0,0.0,100.0,
MAS,D4,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
MAS,D5,single,2,2,0,1,1,0,1,0,2.0,1.0,100.0,100.0,
MAS,N41,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,
MAS,N42,multi,1,0,1,3,0,3,3,0,0.0,2.0,0.0,66.7,
MAS,N43,multi,2,0,2,0,0,0,0,0,2.0,0,100.0,,
MAS,N44,multi,2,0,2,1,0,1,1,0,0.0,1.0,0.0,100.0,
MAS,N45,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,
MAS,N46,multi,2,0,2,1,0,1,1,0,1.0,1.0,50.0,100.0,
MAS,N47,multi,2,0,2,2,0,2,2,0,2.0,2.0,100.0,100.0,
MAS,N48,multi,3,0,3,0,0,0,0,0,2.0,0,66.7,,
MAS,N49,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,
MAS,N50,multi,1,0,1,1,0,1,1,0,0.0,1.0,0.0,100.0,
MAS,N51,multi,2,0,2,0,0,0,0,0,0.0,0,0.0,,
MAS,N52,multi,2,0,2,1,0,1,1,0,1.0,1.0,50.0,100.0,
MAS,N53,multi,3,0,3,0,0,0,0,0,1.0,0,33.3,,
MAS,N54,multi,2,0,2,2,0,2,2,0,2.0,1.0,100.0,50.0,
MAS,N55,multi,1,0,1,2,0,2,2,0,1.0,2.0,100.0,100.0,
UNMAS,N1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,20.0
UNMAS,N2,single,2,2,0,1,1,0,1,0,2.0,1.0,100.0,100.0,12.35
UNMAS,N3,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,18.73
UNMAS,N4,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,18.28
UNMAS,N5,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,10.75
UNMAS,N6,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,18.79
UNMAS,N7,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,18.36
UNMAS,N8,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,19.09
UNMAS,N9,single,1,1,0,1,1,0,1,0,1.0,1.0,100.0,100.0,20.04
UNMAS,N10,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,16.04
UNMAS,N11,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,13.73
UNMAS,N12,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,24.92
UNMAS,N13,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,18.67
UNMAS,N14,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,27.42
UNMAS,N15,single,1,1,0,1,1,0,1,0,0.0,1.0,0.0,100.0,17.74
UNMAS,N16,single,3,3,0,1,1,0,0,1,2.0,1.0,66.7,100.0,13.03
UNMAS,N17,single,2,2,0,1,1,0,0,1,0.0,0.0,0.0,0.0,15.09
UNMAS,N18,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,12.61
UNMAS,N19,single,2,2,0,1,1,0,1,0,0.0,1.0,0.0,100.0,16.68
UNMAS,N20,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,16.25
UNMAS,N21,single,1,1,0,1,1,0,0,1,0.0,1.0,0.0,100.0,16.79
UNMAS,N22,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,16.09
UNMAS,N23,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,14.05
UNMAS,N24,single,2,2,0,1,1,0,0,1,1.0,1.0,50.0,100.0,17.82
UNMAS,N25,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,19.29
UNMAS,N26,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,24.65
UNMAS,N27,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,16.68
UNMAS,N28,single,4,4,0,0,0,0,0,0,4.0,0,100.0,,17.28
UNMAS,N29,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,29.47
UNMAS,N30,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,22.49
UNMAS,N31,single,3,3,0,1,1,0,0,1,3.0,0.0,100.0,0.0,23.21
UNMAS,N32,single,3,3,0,1,1,0,1,0,1.0,1.0,33.3,100.0,18.1
UNMAS,N33,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,16.78
UNMAS,N34,single,4,4,0,0,0,0,0,0,4.0,0,100.0,,18.29
UNMAS,N35,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,20.09
UNMAS,D1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,12.84
UNMAS,D2,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,18.12
UNMAS,D3,single,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,20.76
UNMAS,D4,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,19.45
UNMAS,D5,single,2,2,0,1,1,0,1,0,1.0,1.0,50.0,100.0,12.9
UNMAS,N41,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,16.7
UNMAS,N42,multi,1,0,1,3,0,3,3,0,0.0,2.0,0.0,66.7,11.71
UNMAS,N43,multi,2,0,2,0,0,0,0,0,2.0,0,100.0,,13.79
UNMAS,N44,multi,2,0,2,1,0,1,1,0,0.0,1.0,0.0,100.0,17.51
UNMAS,N45,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,17.15
UNMAS,N46,multi,2,0,2,1,0,1,1,0,1.0,1.0,50.0,100.0,13.11
UNMAS,N47,multi,2,0,2,2,0,2,2,0,0.0,2.0,0.0,100.0,17.55
UNMAS,N48,multi,3,0,3,0,0,0,0,0,3.0,0,100.0,,12.03
UNMAS,N49,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,23.71
UNMAS,N50,multi,1,0,1,1,0,1,1,0,1.0,1.0,100.0,100.0,15.3
UNMAS,N51,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,11.86
UNMAS,N52,multi,2,0,2,1,0,1,1,0,1.0,0.0,50.0,0.0,12.94
UNMAS,N53,multi,3,0,3,0,0,0,0,0,2.0,0,66.7,,15.97
UNMAS,N54,multi,2,0,2,2,0,2,2,0,2.0,1.0,100.0,50.0,19.52
UNMAS,N55,multi,1,0,1,2,0,2,2,0,0.0,0.0,0.0,0.0,15.99
BB,N1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,17.19
BB,N2,single,2,2,0,1,1,0,1,0,1.0,1.0,50.0,100.0,7.43
BB,N3,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,7.42
BB,N4,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,10.2
BB,N5,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,8.08
BB,N6,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,12.17
BB,N7,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,8.12
BB,N8,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,7.28
BB,N9,single,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,15.2
BB,N10,single,3,3,0,0,0,0,0,0,0.0,0,0.0,,10.32
BB,N11,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,7.3
BB,N12,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,14.68
