query_id,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,MAS_facts_recalled,MAS_traps_acked,MAS_tokens,MAS_llm_calls,MAS_turns,UNMAS_facts_recalled,UNMAS_traps_acked,UNMAS_tokens,UNMAS_llm_calls,UNMAS_turns,BB_facts_recalled,BB_traps_acked,BB_tokens,BB_llm_calls,BB_turns,UNBB_facts_recalled,UNBB_traps_acked,UNBB_tokens,UNBB_llm_calls,UNBB_turns,SA_facts_recalled,SA_traps_acked,SA_tokens,SA_llm_calls,SA_turns
N1,single,2,2,0,0,0,0,0,0,1.0,0,31940,25,12,1.0,0,11393,12,7,1.0,0,4513,6,6,1.0,0,10527,9,6,1.0,0,11770,4,4
N2,single,2,2,0,1,1,0,1,0,2.0,1.0,22944,12,6,2.0,1.0,8038,10,5,1.0,1.0,3149,6,5,2.0,1.0,6146,7,5,2.0,0.0,5047,2,2
N3,single,1,1,0,0,0,0,0,0,0.0,0,21281,18,10,0.0,0,24288,13,7,0.0,0,3915,5,5,0.0,0,9298,9,6,0.0,0,6796,2,2
N4,single,1,1,0,0,0,0,0,0,0.0,0,72796,21,7,1.0,0,23161,12,7,0.0,0,4840,6,6,1.0,0,11719,9,6,0.0,0,12569,3,3
N5,single,1,1,0,0,0,0,0,0,0.0,0,17126,13,8,0.0,0,10872,9,5,0.0,0,3969,6,5,0.0,0,6158,7,5,1.0,0,5422,2,2
N6,single,2,2,0,0,0,0,0,0,0.0,0,13104,16,7,0.0,0,28849,13,7,1.0,0,7847,6,6,0.0,0,11001,9,6,1.0,0,7662,2,2
N7,single,3,3,0,0,0,0,0,0,2.0,0,44306,17,10,3.0,0,8423,9,5,3.0,0,4330,5,4,3.0,0,6588,7,5,3.0,0,7831,3,3
N8,single,2,2,0,0,0,0,0,0,2.0,0,21315,16,7,2.0,0,19009,9,6,1.0,0,4583,5,5,0.0,0,9899,9,6,2.0,0,7468,2,2
N9,single,1,1,0,1,1,0,1,0,1.0,1.0,15480,14,7,1.0,1.0,24901,13,7,0.0,0.0,4232,5,5,0.0,1.0,11871,9,6,1.0,0.0,13384,3,3
N10,single,3,3,0,0,0,0,0,0,0.0,0,16919,17,10,1.0,0,11998,11,6,0.0,0,4735,5,5,0.0,0,10346,9,6,2.0,0,7566,2,2
